Date,CRIX,ETH,expected_return,abnormal_return
2017-10-02,-0.0140147821190579,-0.0026833751940733,-0.005760508818565429,0.003077133624492129
2017-10-03,-0.0151297027231676,-0.0202849310869996,-0.006256933112066058,-0.014027997974933544
2017-10-04,0.0161229222500951,-0.0003304619513357,0.0076584633881008135,-0.007988925339436513
2017-10-05,0.0203246743140965,-0.0004669210391856,0.009529315709017714,-0.009996236748203314
2017-10-06,0.0107214271829541,0.0239487629459445,0.005253419152064101,0.018695343793880402
2017-10-07,0.0303665468027531,0.0283929243909115,0.014000512525391438,0.014392411865520063
2017-10-08,0.0035859358919738,0.0087418381049415,0.002076303929825139,0.006665534175116361
2017-10-09,0.0092176063384377,-0.0318500853514036,0.004583834970429298,-0.0364339203218329
2017-10-10,0.0081280903599623,-0.0084816289311504,0.0040987222208051285,-0.012580351151955528
2017-10-11,0.0644420272822801,0.0050491028225279,0.029172800363996373,-0.024123697541468474
2017-10-12,0.0612808838061047,0.0143380971308557,0.02776528451844645,-0.01342718738759075
2017-10-13,0.0076834286693161,0.0580235110254685,0.0039007342521442537,0.05412277677332425
2017-10-14,0.0024722583616432,0.0536785881890979,0.001580433121496713,0.05209815506760119
2017-10-15,-0.0001209072117358,-0.0276120625755673,0.0004258124400332265,-0.028037875015600525
2017-10-16,-0.0231616225415098,0.0222881135762076,-0.00983318787547871,0.03212130145168631
2017-10-17,-0.0120354419974759,-0.0455495449813962,-0.004879197164774238,-0.04067034781662196
2017-10-18,0.0055702030011417,-0.0644571705200629,0.0029598093508876504,-0.06741697987095055
2017-10-19,0.0243647024424529,0.01636166314342,0.01132815959256358,0.0050335035508564194
2017-10-20,0.0080339072564346,-0.0097280255619107,0.004056786696018796,-0.013784812257929496
2017-10-21,-0.0087386649178897,-0.0285851550091669,-0.0034112897402186347,-0.025173865268948267
2017-10-22,-0.0123251982106653,-0.0062551389087985,-0.005008212650621168,-0.0012469262581773326
2017-10-23,-0.0384959767398802,-0.0360700538676441,-0.016660890154147366,-0.019409163713496734
2017-10-24,0.018764498007151,0.0615779286120821,0.008834638959788284,0.052743289652293815
2017-10-25,0.0190653229580028,-0.0260117391242786,0.008968582859599174,-0.03498032198387777
2017-10-26,-0.0076503980512523,0.0029924063898985,-0.0029267331642443164,0.005919139554142817
2017-10-27,0.0003758580835482,-0.0024141674326063,0.0006469998141278279,-0.0030611672467341275
2017-10-28,0.0526225523827328,-0.0052298201321638,0.023910116676092375,-0.029139936808256175
2017-10-29,-3.988616582706328e-05,0.0247764881449565,0.0004618874890776778,0.024314600655878822
2017-10-30,0.0256362830184597,0.016495063444136,0.011894337566803609,0.004600725877332391
2017-10-31,0.0377709573306033,0.0013458316287904,0.017297365459607184,-0.015951533830816784
2017-11-01,0.0422705204310807,-0.0265276122237931,0.019300819719024757,-0.045828431942817854
2017-11-02,0.0342605045376789,-0.0485688143425155,0.0157343177939966,-0.06430313213651209
2017-11-03,0.0080555123991352,0.0356039557660219,0.004066406500031378,0.03153754926599052
2017-11-04,0.0016558746757535,0.0142948948639949,0.0012169339691809685,0.013077960894813933
2017-11-05,-0.0295484821974021,-0.0056262895445611,-0.012676970904222562,0.0070506813596614626
2017-11-06,0.0067997816362836,0.0016107440084685,0.003507285738895749,-0.001896541730427249
2017-11-07,0.038518004376467,-0.0079581106531652,0.017629992106372543,-0.025588102759537743
2017-11-08,-0.0141420717155789,0.0169372886919001,-0.005817185184389144,0.022754473876289247
2017-11-09,-0.0333052046408255,0.0553876958856234,-0.014349671433731231,0.06973736731935463
2017-11-10,0.0170483942533339,-0.0239428944852351,0.008070534690459874,-0.032013429175694975
2017-11-11,-0.0376718293634201,-0.0114942119021241,-0.01629393417755897,0.00479972227543487
2017-11-12,0.0410402790010264,0.0062444492567816,0.018753048218077755,-0.012508598961296155
2017-11-13,0.0295086810946996,0.0187887026066704,0.013618543283394208,0.005170159323276191
2017-11-14,0.0521457422986655,0.0395780474433085,0.023697814465294058,0.01588023297801444
2017-11-15,0.02053724828954,0.0233777350477311,0.009623965395450254,0.013753769652280846
2017-11-16,0.0210590823475396,-0.0202192054661507,0.009856314768681075,-0.030075520234831774
