date,price
2018-08-31,1316.9311147044816
2018-09-01,1366.709418635565
2018-09-02,1378.8292435072156
2018-09-03,1362.824284761292
2018-09-04,1372.634212128885
2018-09-05,1220.6980428756178
2018-09-06,1188.2373040397752
2018-09-07,1157.8876046545329
2018-09-08,1106.5410724715025
2018-09-09,1120.259059823254
2018-09-10,1119.872773254937
2018-09-11,1102.1164871149683
2018-09-12,1106.8659588344613
2018-09-13,1160.2357525067137
2018-09-14,1157.2041280704843
2018-09-15,1171.5890496949617
2018-09-16,1166.3467133957704
2018-09-17,1104.960457076434
2018-09-18,1147.5314710824227
2018-09-19,1152.6125346386716
2018-09-20,1223.7175942414792
2018-09-21,1317.1239722742985
2018-09-22,1309.822723437
2018-09-23,1315.832863381448
2018-09-24,1256.821414542414
2018-09-25,1236.4281207546449
2018-09-26,1240.815505252698
2018-09-27,1300.426933473613
2018-09-28,1281.8801009687463
2018-09-29,1293.703715440074
2018-09-30,1298.7619520715436
2018-10-01,1294.6785642239304
2018-10-02,1260.6674741029665
2018-10-03,1254.7316126311318
2018-10-04,1266.0088542021158
2018-10-05,1274.9507196744698
2018-10-06,1257.3943569472945
2018-10-07,1258.2423590665758
2018-10-08,1275.8741981268051
2018-10-09,1266.8796683062626
2018-10-10,1253.0637945195272
2018-10-11,1142.2744329151635
2018-10-12,1165.6012753668315
2018-10-13,1173.9409549752088
2018-10-14,1164.2648011862675
2018-10-15,1236.6536336688807
2018-10-16,1241.5075774883032
2018-10-17,1242.0890738269366
2018-10-18,1215.478308800856
2018-10-19,1210.8205401824855
2018-10-20,1222.231565684167
2018-10-21,1220.4832541440255
2018-10-22,1215.9097254338162
2018-10-23,1211.6267170531703
2018-10-24,1213.2422029089978
2018-10-25,1210.6279503455007
2018-10-26,1212.6805851153172
2018-10-27,1208.2747397402231
2018-10-28,1215.1409011835624
2018-10-29,1171.4886482889322
2018-10-30,1180.9350635822436
2018-10-31,1189.614844717603
2018-11-01,1194.2612736774618
2018-11-02,1210.2144442024205
2018-11-03,1203.619848941474
2018-11-04,1216.8792348177403
2018-11-05,1238.268980232894
2018-11-06,1281.485087807412
2018-11-07,1285.9476097336906
2018-11-08,1255.7932944339436
2018-11-09,1240.5143911352202
2018-11-10,1243.6372863911608
2018-11-11,1247.3062324395012
2018-11-12,1244.4557287831678
2018-11-13,1234.5286069614383
2018-11-14,1113.661122746308
2018-11-15,1101.0268205115606
2018-11-16,1077.3467742464952
2018-11-17,1083.4008026223646
2018-11-18,1087.1559232513844
2018-11-19,949.4194973088968
2018-11-20,848.7720971218297
2018-11-21,890.5887198250559
2018-11-22,834.6589152218926
2018-11-23,831.3188906480839
2018-11-24,744.3443795061718
2018-11-25,767.6015211172712
2018-11-26,728.2808651508507
2018-11-27,728.3259254095004
2018-11-28,805.3798170426293
2018-11-29,795.5397993205157
2018-11-30,750.6919698020057
2018-12-01,783.8738274181009
2018-12-02,768.6883348612996
2018-12-03,723.3281869220223
2018-12-04,729.9013481880555
2018-12-05,692.0708999150036
2018-12-06,629.9882157331042
2018-12-07,621.5821331367416
2018-12-08,622.327836709008
2018-12-09,645.4078271669727
2018-12-10,622.5275023159495
2018-12-11,612.1148636833192
2018-12-12,623.3380886311838
2018-12-13,597.9065224121491
2018-12-14,582.0861571714375
2018-12-15,582.0124553752123
2018-12-16,584.2777257893177
2018-12-17,645.3776551184978
2018-12-18,678.8859476981406
2018-12-19,684.8805598283479
2018-12-20,757.5044386036691
2018-12-21,723.1813188106746
2018-12-22,741.8606915871515
2018-12-23,756.8963262577875
2018-12-24,786.7082457019568
2018-12-25,726.7722171923393
2018-12-26,733.8649617506915
2018-12-27,681.9628660528017
2018-12-28,745.053852208834
2018-12-29,746.1262128253354
2018-12-30,739.7375607277994
2018-12-31,713.0434265522791
2019-01-01,736.8952862206138
2019-01-02,764.8300270136587
2019-01-03,739.1013651987731
2019-01-04,750.2324825029353
2019-01-05,745.8698952729725
2019-01-06,783.4092373363001
2019-01-07,774.8985786725326
2019-01-08,773.6106725337484
2019-01-09,778.141424822629
2019-01-10,696.1386939733039
2019-01-11,690.3920813719433
2019-01-12,689.2756610885025
2019-01-13,661.5305460754711
2019-01-14,699.8006933731721
2019-01-15,679.6263957997745
2019-01-16,688.5762193074811
2019-01-17,691.2415981681976
2019-01-18,683.3319960852857
2019-01-19,698.9962354961441
